,id_card
592,963906
593,1085098
594,1442992
595,410880
596,1204771
597,651072
598,1176680
599,272821
600,932050
601,117047
602,561237
603,197618
604,873820
605,870454
606,1513669
607,71
608,368049
609,800364
610,834157
611,1824516
612,1695520
613,1633969
614,562951
615,951692
616,768880
617,904058
618,541381
619,607499
620,1144062
621,293075
622,1199460
623,1166694
624,1376010
625,1224170
626,515047
627,1408042
628,1246004
629,923254
630,712284
631,941784
632,1481910
633,1085991
634,215656
635,1713398
636,1152094
637,1154532
638,1558674
639,1586385
640,899384
641,10316
642,1001226
643,1249031
644,1900983
645,1006787
646,989954
647,1152038
648,393322
649,210209
650,109436
651,1353218
652,920150
653,1422889
654,1373258
655,912255
656,1827922
657,158750
658,1151937
659,461466
660,980527
661,1309978
662,484987
663,646212
664,1512057
665,1454680
666,922685
667,1817888
668,530446
669,197375
670,23835
671,1186446
672,1152022
673,1567318
674,143566
675,13674
676,1518121
677,589418
678,716142
679,1649524
680,1633827
681,1321951
682,1084346
683,153107
684,414347
685,488384
686,1750923
687,1151980
688,1196534
689,197402
690,921106
691,521426
692,690156
693,17258
694,1214037
695,777956
696,282467
697,1748528
698,515899
699,270789
700,93747
701,1221994
702,751007
703,235948
704,1318602
705,1722639
706,663878
707,130
708,1032676
709,21135
710,1634094
711,706077
712,1152021
713,41680
714,684287
715,1473013
716,659649
717,46588
718,1306366
719,213
720,139270
721,242180
722,1152056
723,1200810
724,1311091
725,1484698
726,890489
727,549526
728,1089695
729,124208
730,1120903
731,1356173
732,129045
733,1121072
734,310182
735,1017899
736,656372
737,582684
738,1106381
739,1443181
740,149567
741,445967
742,651887
743,675797
744,1621879
745,1454973
746,824423
747,957902
748,375645
749,1422645
750,1152136
751,116434
752,68515
753,1836767
754,1263780
755,128714
756,165858
757,377465
758,1077304
759,684214
760,1014469
761,1328436
762,1745906
763,941771
764,1563738
765,1348223
766,818966
767,847573
768,41968
769,1558682
770,374325
771,459857
772,671161
773,806259
774,1311557
775,764686
776,1623135
777,37826
778,507805
779,416644
780,1190936
781,1232498
782,1557873
783,1707038
784,186522
785,197342
786,929087
787,38597
788,974558
789,1357254
790,302
791,1147880
792,850546
793,165843
794,807702
795,1633923
796,961115
797,423769
798,639355
799,688670
800,322112
801,126820
802,782186
803,494830
804,1422278
805,1040705
806,719277
807,1053614
808,1078929
809,159530
810,1422943
811,396592
812,1147581
813,1272229
814,1490912
815,1144298
816,106811
817,836964
818,483083
819,651866
820,1345572
821,1215907
822,1422218
823,1763904
824,1120379
825,1326213
826,1805948
827,921100
828,825162
829,1152098
830,1422918
831,978157
832,582665
833,1343215
834,1315249
835,139830
836,494992
837,308538
838,568417
839,1174602
840,1445526
841,1680009
842,1333962
843,1534655
844,833264
845,793949
846,233476
847,1338395
848,1213179
849,1014315
850,331
851,1166088
852,433847
853,1230097
854,1495627
855,122687
856,1248407
857,890460
858,834897
859,1171852
860,1274424
861,310533
862,291800
863,1524665
864,664255
865,400771
866,775344
867,1151960
868,1469405
869,554885
870,343797
871,239230
872,1025753
873,1177045
874,1355930
875,1618337
876,1100670
877,43415
878,1521915
879,1737338
880,1835763
881,619954
882,890448
883,1831050
884,1836496
885,1662346
886,1277018
887,388
888,1458142
889,556702
890,994295
891,1518818
892,951408
893,23745
894,477643
895,109304
896,370511
897,867357
898,978154
899,1558675
900,469339
901,1260848
902,195426
903,719123
904,455605
905,1352359
906,397148
907,104
908,623605
909,782182
910,31867
911,601172
912,850549
913,980865
914,740597
915,1347277
916,157583
917,1422932
918,1475770
919,1659264
920,1432306
921,1397112
922,1442686
923,993949
924,106434
925,1041951
926,1000162
927,197422
928,615131
929,184964
930,1829577
931,978556
932,146508
933,936499
934,381004
935,1466705
936,890473
937,629918
938,500067
939,36903
940,1143668
941,1810438
942,703672
943,1703287
944,973577
945,1562995
946,97572
947,1232847
948,584183
949,1141510
950,537722
951,1384120
952,1836315
953,891021
954,1514943
955,291293
956,1422662
957,761961
958,74062
959,399437
960,1681469
961,429684
962,1771580
963,368699
964,330657
965,978591
966,980501
967,787395
968,1707096
969,1223249
970,1581566
971,1718777
972,967601
